iter	Passed	Remaining
179	368	1680
180	370	1678
181	372	1676
182	374	1674
183	377	1671
184	379	1669
185	380	1667
186	382	1664
187	384	1662
188	387	1663
189	389	1662
190	391	1660
191	393	1657
192	395	1655
193	397	1653
194	400	1651
195	402	1649
196	404	1647
197	406	1646
198	408	1643
199	410	1641
200	411	1637
201	422	1669
202	425	1669
203	427	1667
204	429	1664
205	431	1663
206	433	1662
207	435	1659
208	437	1657
209	439	1654
210	441	1649
211	443	1647
212	445	1645
213	447	1642
214	449	1640
215	451	1638
216	453	1636
217	455	1634
218	457	1631
219	459	1629
220	461	1627
221	464	1626
222	466	1624
223	468	1621
224	470	1619
225	472	1617
226	474	1614
227	476	1612
228	478	1610
229	480	1608
230	482	1605
231	484	1603
232	486	1600
233	488	1599
234	490	1596
235	492	1594
236	494	1592
237	496	1589
238	498	1587
239	500	1585
240	502	1582
241	504	1580
242	506	1577
243	508	1576
244	510	1574
245	512	1572
246	514	1569
247	516	1567
248	518	1564
249	520	1562
250	522	1559
251	524	1558
252	527	1556
253	529	1553
254	531	1551
255	532	1549
256	535	1546
257	537	1544
258	539	1542
259	541	1540
260	543	1538
261	545	1537
262	547	1535
263	549	1532
264	551	1529
265	553	1527
266	555	1525
267	557	1523
268	560	1521
269	562	1519
270	564	1517
271	565	1514
272	567	1512
273	570	1510
274	572	1508
275	574	1506
276	576	1503
277	578	1501
278	580	1499
279	582	1497
280	584	1495
281	586	1494
282	589	1492
283	591	1490
284	593	1487
285	595	1485
286	597	1483
287	598	1480
288	601	1479
289	603	1477
290	605	1475
291	607	1473
292	609	1471
293	612	1469
294	614	1467
295	616	1465
296	618	1463
297	620	1461
298	622	1460
299	624	1457
300	626	1455
301	628	1452
302	630	1451
303	633	1449
304	635	1447
305	637	1444
306	639	1442
307	641	1440
308	643	1438
309	645	1435
310	647	1433
311	649	1431
312	651	1430
313	653	1427
314	655	1425
315	657	1423
316	659	1421
317	662	1420
318	664	1418
319	666	1415
320	668	1413
321	670	1410
322	672	1408
323	674	1406
324	675	1403
325	678	1402
326	680	1399
327	682	1397
328	684	1395
329	686	1393
330	688	1391
331	690	1388
332	692	1386
333	694	1384
334	696	1382
335	698	1380
336	700	1378
337	702	1375
338	704	1372
339	706	1370
340	708	1369
341	710	1367
342	712	1364
343	714	1362
344	716	1360
345	718	1358
346	720	1356
347	722	1354
348	725	1352
349	727	1350
350	729	1348
351	731	1346
352	733	1344
353	735	1342
354	737	1340
355	740	1338
356	742	1336
357	744	1334
358	746	1332
359	748	1330
360	750	1328
361	752	1326
362	754	1324
363	757	1322
364	759	1321
365	761	1319
366	763	1317
367	765	1315
368	767	1312
369	770	1311
370	772	1309
371	774	1307
372	776	1304
373	778	1302
374	780	1300
375	782	1297
376	784	1295
377	786	1294
378	788	1292
379	790	1290
380	792	1288
381	794	1286
382	797	1283
383	798	1281
384	801	1280
385	803	1278
386	805	1276
387	808	1274
388	810	1272
389	812	1270
390	814	1268
391	816	1266
392	818	1264
393	820	1262
394	822	1260
395	824	1258
396	826	1255
397	829	1254
398	830	1250
399	832	1248
400	834	1246
401	836	1244
402	838	1242
403	840	1239
404	842	1237
405	844	1235
406	846	1233
407	848	1231
408	851	1229
409	853	1227
410	855	1225
411	857	1223
412	859	1221
413	861	1219
414	863	1216
415	865	1214
416	867	1212
417	869	1210
418	871	1208
419	873	1206
420	875	1204
421	877	1202
422	879	1200
423	882	1198
424	884	1196
425	886	1194
426	888	1192
427	890	1189
428	892	1187
429	894	1185
430	896	1183
431	898	1181
432	900	1179
433	902	1176
434	904	1174
435	906	1172
436	908	1171
437	910	1168
438	913	1166
439	915	1164
440	917	1162
441	919	1160
442	921	1158
443	923	1156
444	925	1154
445	927	1152
446	929	1150
447	931	1148
448	933	1145
449	935	1143
450	937	1141
451	939	1139
452	941	1136
453	943	1135
454	945	1132
455	948	1131
456	950	1128
457	952	1126
458	954	1124
459	956	1122
460	958	1121
461	960	1119
462	963	1116
463	965	1114
464	967	1112
465	969	1110
466	971	1108
467	973	1106
468	975	1104
469	977	1102
470	979	1099
471	981	1097
472	983	1095
473	985	1094
474	988	1092
475	989	1089
476	992	1087
477	994	1085
478	996	1083
479	998	1081
480	1000	1079
481	1002	1077
482	1004	1075
483	1006	1073
484	1009	1071
485	1011	1069
486	1013	1067
487	1015	1065
488	1018	1064
489	1020	1062
490	1022	1059
491	1024	1057
492	1026	1055
493	1028	1053
494	1030	1051
495	1033	1049
496	1035	1047
497	1037	1045
498	1038	1043
499	1040	1040
500	1043	1038
501	1045	1036
502	1047	1034
503	1049	1032
504	1051	1030
505	1053	1028
506	1055	1026
507	1057	1024
508	1059	1022
509	1061	1020
510	1063	1018
511	1066	1016
512	1068	1014
513	1070	1012
514	1072	1009
515	1074	1007
516	1076	1005
517	1078	1003
518	1080	1001
519	1082	998
520	1084	996
521	1086	994
522	1088	992
523	1090	990
524	1092	988
525	1094	986
526	1096	984
527	1098	982
528	1100	979
529	1102	977
530	1104	975
531	1106	973
532	1108	971
533	1111	969
534	1113	967
535	1115	965
536	1117	963
537	1119	961
538	1122	959
539	1124	957
540	1126	955
541	1128	953
542	1130	951
543	1132	949
544	1134	946
545	1136	944
546	1138	942
547	1140	940
548	1142	938
549	1144	936
550	1146	934
551	1148	932
552	1150	930
553	1152	928
554	1154	926
555	1157	924
556	1159	921
557	1161	919
558	1163	917
559	1165	915
560	1167	913
561	1169	911
562	1171	909
563	1173	907
564	1175	905
565	1177	903
566	1180	901
567	1182	899
568	1184	897
569	1186	895
570	1189	893
571	1190	891
572	1192	888
573	1194	886
574	1196	884
575	1199	882
576	1201	880
577	1203	878
578	1205	876
579	1207	874
580	1209	872
581	1221	877
582	1225	876
583	1227	874
584	1229	872
585	1231	870
586	1233	867
587	1235	865
588	1237	863
589	1239	861
590	1241	859
591	1243	857
592	1246	855
593	1248	853
594	1250	851
595	1252	849
596	1254	847
597	1256	844
598	1259	842
599	1261	840
600	1263	838
601	1265	836
602	1266	834
603	1268	831
604	1270	829
605	1272	827
606	1275	825
607	1277	823
608	1279	821
609	1281	819
610	1283	816
611	1285	814
612	1287	812
613	1289	810
614	1291	808
615	1293	806
616	1295	804
617	1297	802
618	1299	799
619	1301	797
620	1303	795
621	1305	793
622	1307	791
623	1308	788
624	1310	786
625	1312	784
626	1314	782
627	1316	780
628	1319	778
629	1321	776
630	1323	773
631	1325	771
632	1327	769
633	1329	767
634	1331	765
635	1333	763
636	1335	761
637	1337	758
638	1339	756
639	1341	754
640	1343	752
641	1345	750
642	1347	748
643	1349	746
644	1351	743
645	1353	741
646	1355	739
647	1357	737
648	1359	735
649	1361	733
650	1363	730
651	1365	728
652	1367	726
653	1369	724
654	1371	722
655	1373	720
656	1375	718
657	1377	716
658	1379	713
659	1381	711
660	1383	709
661	1385	707
662	1387	705
663	1389	703
664	1391	701
665	1393	698
666	1395	696
667	1398	694
668	1400	692
669	1402	690
670	1404	688
671	1406	686
672	1409	684
673	1411	682
674	1413	680
675	1415	678
676	1417	676
677	1419	674
678	1421	671
679	1423	669
680	1425	667
681	1427	665
682	1429	663
683	1431	661
684	1433	659
685	1435	656
686	1437	654
687	1439	652
688	1441	650
689	1443	648
690	1444	646
691	1446	644
692	1448	641
693	1450	639
694	1452	637
695	1454	635
696	1456	633
697	1459	631
698	1461	629
699	1463	627
700	1465	624
701	1467	622
702	1469	620
703	1471	618
704	1473	616
705	1475	614
706	1477	612
707	1479	610
708	1481	608
709	1483	605
710	1485	603
711	1487	601
712	1489	599
713	1492	597
714	1494	595
715	1495	593
716	1497	591
717	1499	589
718	1501	586
719	1503	584
720	1506	582
721	1508	580
722	1510	578
723	1512	576
724	1514	574
725	1516	572
726	1518	570
727	1520	568
728	1522	566
729	1524	563
730	1526	561
731	1528	559
732	1530	557
733	1532	555
734	1534	553
735	1536	551
736	1538	549
737	1541	547
738	1542	544
739	1544	542
740	1546	540
741	1549	538
742	1551	536
743	1553	534
744	1555	532
745	1557	530
746	1559	528
747	1561	526
748	1563	523
749	1565	521
750	1567	519
751	1569	517
752	1571	515
753	1573	513
754	1575	511
755	1577	509
756	1579	507
757	1581	504
758	1584	502
759	1586	500
760	1588	498
761	1590	496
762	1591	494
763	1593	492
764	1596	490
765	1598	488
766	1600	486
767	1602	484
768	1604	481
769	1606	479
770	1608	477
771	1610	475
772	1613	473
773	1615	471
774	1617	469
775	1619	467
776	1621	465
777	1623	463
778	1625	461
779	1627	459
780	1629	457
781	1632	454
782	1634	452
783	1636	450
784	1638	448
785	1640	446
786	1642	444
787	1644	442
788	1646	440
789	1648	438
790	1650	436
791	1652	433
792	1654	432
793	1657	430
794	1659	428
795	1662	425
796	1664	423
797	1666	421
798	1668	419
799	1671	417
800	1673	415
801	1675	413
802	1677	411
803	1679	409
804	1681	407
805	1683	405
806	1685	403
807	1687	401
808	1689	398
809	1691	396
810	1693	394
811	1696	392
812	1698	390
813	1700	388
814	1702	386
815	1704	384
816	1706	382
817	1708	380
818	1710	378
819	1712	375
820	1714	373
821	1716	371
822	1718	369
823	1720	367
824	1722	365
825	1724	363
826	1726	361
827	1728	359
828	1730	356
829	1732	354
830	1734	352
831	1737	350
832	1739	348
833	1741	346
834	1743	344
835	1745	342
836	1747	340
837	1749	338
838	1751	336
839	1753	334
840	1755	331
841	1757	329
842	1759	327
843	1761	325
844	1763	323
845	1765	321
846	1768	319
847	1770	317
848	1772	315
849	1774	313
850	1776	311
851	1778	308
852	1780	306
853	1782	304
854	1806	306
855	1808	304
856	1811	302
857	1813	300
858	1816	298
859	1818	296
860	1820	293
861	1823	291
862	1825	289
863	1827	287
864	1829	285
865	1832	283
866	1834	281
867	1836	279
868	1838	277
869	1840	274
870	1842	272
871	1844	270
872	1846	268
873	1848	266
874	1850	264
875	1852	262
876	1854	260
877	1856	258
878	1859	255
879	1861	253
880	1862	251
881	1865	249
882	1867	247
883	1869	245
884	1871	243
885	1873	241
886	1875	238
887	1877	236
888	1879	234
889	1881	232
890	1883	230
891	1885	228
892	1887	226
893	1889	224
894	1891	221
895	1893	219
896	1895	217
897	1897	215
898	1899	213
899	1901	211
900	1903	209
901	1905	207
902	1907	204
903	1909	202
904	1911	200
905	1913	198
906	1915	196
907	1917	194
908	1919	192
909	1922	190
910	1924	187
911	1926	185
912	1928	183
913	1930	181
914	1932	179
915	1934	177
916	1936	175
917	1938	173
918	1940	171
919	1942	168
920	1944	166
921	1946	164
922	1948	162
923	1950	160
924	1952	158
925	1954	156
926	1956	154
927	1958	151
928	1960	149
929	1962	147
930	1965	145
931	1967	143
932	1969	141
933	1971	139
934	1973	137
935	1975	135
936	1977	132
937	1980	130
938	1982	128
939	1984	126
940	1986	124
941	1989	122
942	1999	120
943	2002	118
944	2004	116
945	2006	114
946	2008	112
947	2010	110
948	2012	108
949	2014	106
950	2016	103
951	2018	101
952	2020	99
953	2022	97
954	2025	95
955	2027	93
956	2030	91
957	2032	89
958	2034	86
959	2036	84
960	2038	82
961	2040	80
962	2042	78
963	2044	76
964	2046	74
965	2048	72
966	2050	69
967	2052	67
968	2054	65
969	2056	63
970	2058	61
971	2060	59
972	2062	57
973	2064	55
974	2066	52
975	2069	50
976	2071	48
977	2073	46
978	2075	44
979	2077	42
980	2079	40
981	2081	38
982	2083	36
983	2085	33
984	2087	31
985	2089	29
986	2091	27
987	2093	25
988	2095	23
989	2097	21
990	2100	19
991	2102	16
992	2104	14
993	2106	12
994	2108	10
995	2109	8
996	2111	6
997	2113	4
998	2115	2
999	2117	0
